,DATA,ATIVO,CORRETORA,OPERACAO,QTD,  VALOR UNITARIO, SUB-TOTAL, TX LIQUIDAÇÃO, EMOLUMENTOS, CORRETAGEM, TOTAL CUSTOS, I.R.R.F.,TOTAL,,MONTANTE,HIST. QTD,R$ MEDIO,RESULTADO,DURATION
,2020-jun.-15 05,BOVA11,CLEAR,VENDA,2000," R$ 77,000 "," R$ 154 000,00 ","30,80000","5,06738","852,23498","888,1024","R$0,00","R$153 111,90",,"-153 111,90",-2 000,"76,56","0,00",
,2020-jun.-15 06,BOVA11,CLEAR,COMPRA,2000," R$ 78,000 "," R$ 156 000,00 ","31,20000","5,13319","863,30296","899,6362","R$0,00","R$156 899,64",,"0,00",0,"0,00","-3787,74",
,2020-jun.-15 07,VALE3,CLEAR,COMPRA,5000," R$ 48,300 "," R$ 241 500,00 ","48,30000","7,94658","1336,45939","1392,7060","R$0,00","R$242 892,71",,"242 892,71",5 000,"48,58","0,00",
,2020-jun.-15 08,VALE3,CLEAR,VENDA,5000," R$ 47,800 "," R$ 239 000,00 ","47,80000","7,86431","1322,62441","1378,2887","R$0,00","R$237 621,71",,"0,00",0,"0,00","-5271,00",
,2020-jun.-15 09,GGBR4,CLEAR,VENDA,5000," R$ 12,860 "," R$ 64 300,00 ","12,86000","2,11580","355,83577","370,8116","R$0,00","R$63 929,19",,"-63 929,19",-5 000,"12,79","0,00",
,2020-jun.-15 10,GGBR4,CLEAR,COMPRA,5000," R$ 13,640 "," R$ 68 200,00 ","13,64000","2,24413","377,41835","393,3025","R$0,00","R$68 593,30",,"0,00",0,"0,00","-4664,11",
,2020-ago.-20 00,BBSE3,INTER,COMPRA,100," R$ 26,350 "," R$ 2 635,00 ","0,72000","0,08000","0,00000","0,8000","R$0,00","R$2 635,80",,"2 635,80",100,"26,36","0,00",
,2020-set.-21 00,SANB3,INTER,COMPRA,100," R$ 12,830 "," R$ 1 283,00 ","0,35000","0,04000","0,00000","0,3900","R$0,00","R$1 283,39",,"1 283,39",100,"12,83","0,00",
,2020-out.-06 01,TIET11,INTER,COMPRA,100," R$ 14,610 "," R$ 1 461,00 ","0,40000","0,04000","0,00000","0,4400","R$0,00","R$1 461,44",,"2 733,67",201,"13,60","0,00",
,2020-out.-13 01,ENEV3,CLEAR,VENDA,50," R$ 47,630 "," R$ 2 381,50 ","0,65000","0,07000","0,00000","0,7200","R$0,00","R$2 380,78",,"0,00",0,"0,00","1201,91",
,2020-out.-19 00,TIET11,CLEAR,VENDA,1," R$ 15,060 "," R$ 15,06 ","0,00000","0,00000","0,00000","0,0000","R$0,00","R$15,06",,"2 720,07",200,"13,60","1,46",
,2020-out.-20 00,TIET11,CLEAR,VENDA,100," R$ 15,050 "," R$ 1 505,00 ","0,41000","0,04000","0,00000","0,4500","R$0,00","R$1 504,55",,"1 360,04",100,"13,60","144,51",
,2020-out.-21 00,ENBR3,CLEAR,VENDA,39," R$ 18,140 "," R$ 707,46 ","0,19000","0,02000","0,00000","0,2100","R$0,00","R$707,25",,"1 435,44",100,"14,35","147,43",
,2020-out.-22 01,WHRL4,INTER,COMPRA,200," R$ 7,020 "," R$ 1 404,00 ","0,38000","0,04000","0,00000","0,4200","R$0,00","R$1 404,42",,"1 404,42",200,"7,02","0,00",
,2020-out.-23 00,ENBR3,CLEAR,VENDA,100," R$ 18,230 "," R$ 1 823,00 ","0,50000","0,05000","0,00000","0,5500","R$0,00","R$1 822,45",,"0,00",0,"0,00","387,01",
,2020-out.-27 00,TAEE11,CLEAR,VENDA,100," R$ 28,920 "," R$ 2 892,00 ","0,79000","0,09000","0,00000","0,8800","R$0,00","R$2 891,12",,"0,00",0,"0,00","829,58",
,2020-out.-27 01,WIZS3,INTER,COMPRA,200," R$ 9,600 "," R$ 1 920,00 ","0,52000","0,06000","0,00000","0,5800","R$0,00","R$1 920,58",,"1 920,58",200,"9,60","0,00",
,2020-out.-29 01,TAEE11,INTER,COMPRA,100," R$ 28,480 "," R$ 2 848,00 ","0,78000","0,09000","0,00000","0,8700","R$0,00","R$2 848,87",,"2 848,87",100,"28,49","0,00",
,2020-dez.-28 01,WHRL4,INTER,COMPRA,100," R$ 8,140 "," R$ 814,00 ","0,34444","0,03546","0,00000","0,3799","R$0,00","R$814,38",,"2 218,80",300,"7,40","0,00",
,2020-dez.-28 02,WIZS3,INTER,COMPRA,100," R$ 7,930 "," R$ 793,00 ","0,33556","0,03454","0,00000","0,3701","R$0,00","R$793,37",,"2 713,95",300,"9,05","0,00",
